service, type, link, generated, timeSinceGenerated, lastRecordTimeStamp, firstRecordTimeStamp, Collection Time Window in Minutes, totalRecords, rank1, rank2, rank3, rank4, rank5, rank6, rank7, rank8, rank9, rank10
korean,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/korean,2024-05-02T09:38:44.007Z,8,2024-05-02T09:38:00Z,2024-05-01T17:35:00Z,963,20,118,67,66,36,30,29,27,22,20,18
kyrgyz,read,https://onward-journeys.api.bbci.co.uk/api/most/read/kyrgyz,2024-05-02T09:28:57.402Z,17,2024-05-02T09:26:00Z,2024-05-02T03:26:00Z,360,20,233,138,117,101,92,80,52,36,25,24
kyrgyz,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/kyrgyz,2024-05-02T09:29:23.422Z,17,2024-05-02T09:29:00Z,2024-04-27T09:26:00Z,7203,20,12,4,4,3,2,2,2,2,2,2
marathi,read,https://onward-journeys.api.bbci.co.uk/api/most/read/marathi,2024-05-02T09:39:30.15Z,7,2024-05-02T09:37:00Z,2024-05-02T07:37:00Z,120,20,605,474,333,316,207,201,174,140,112,111
marathi,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/marathi,2024-05-02T09:40:27.398Z,6,2024-05-02T09:40:00Z,2024-05-01T13:38:00Z,1202,20,32,29,14,7,4,3,3,3,3,3
mundo,read,https://onward-journeys.api.bbci.co.uk/api/most/read/mundo,2024-05-02T09:30:05.471Z,16,2024-05-02T09:28:00Z,2024-05-02T09:13:00Z,15,20,217,136,129,122,114,91,76,71,67,50
mundo,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/mundo,2024-05-02T09:30:17.667Z,16,2024-05-02T09:30:00Z,2024-05-01T13:28:00Z,1202,20,739,407,181,165,104,103,73,57,56,52
nepali,read,https://onward-journeys.api.bbci.co.uk/api/most/read/nepali,2024-05-02T09:30:20.168Z,16,2024-05-02T09:28:00Z,2024-05-02T05:28:00Z,240,20,11309,696,434,406,237,162,103,43,39,36
nepali,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/nepali,2024-05-02T09:45:41.886Z,1,2024-05-02T09:45:00Z,2024-05-01T13:43:00Z,1202,20,487,83,64,62,21,12,10,10,9,8
news,read,https://onward-journeys.api.bbci.co.uk/api/most/read/news,2024-05-02T09:39:58.664Z,6,2024-05-02T09:38:00Z,2024-05-02T09:22:00Z,16,20,153771,48071,25211,23030,18051,17631,16885,13821,13034,12657
