Dependency,Type,Most Recent Version,Most Recent Version Date,Our Version,Our Version Date,Our Version Freshness in Days
@storybook/addon-controls,commonjs,7.5.0-alpha.3,Sun Sep 24 2023 20:34:44 GMT+0100 (British Summer Time),6.5.16,Thu Jan 26 2023 11:33:28 GMT+0000 (Greenwich Mean Time),242
@storybook/addon-backgrounds,commonjs,7.5.0-alpha.3,Sun Sep 24 2023 20:34:38 GMT+0100 (British Summer Time),6.5.16,Thu Jan 26 2023 11:32:35 GMT+0000 (Greenwich Mean Time),242
@emotion/babel-preset-css-prop,commonjs,11.11.0,Sat May 06 2023 09:49:12 GMT+0100 (British Summer Time),11.11.0,Sat May 06 2023 09:49:11 GMT+0100 (British Summer Time),142
@testing-library/dom,commonjs,10.0.0-alpha.1,Sun Sep 17 2023 19:11:37 GMT+0100 (British Summer Time),9.3.1,Wed Jun 14 2023 16:00:04 GMT+0100 (British Summer Time),103
@storybook/react,commonjs,7.5.0-alpha.3,Sun Sep 24 2023 20:41:03 GMT+0100 (British Summer Time),6.5.16,Thu Jan 26 2023 11:34:35 GMT+0000 (Greenwich Mean Time),242
@storybook/addon-docs,commonjs,7.5.0-alpha.3,Sun Sep 24 2023 20:34:50 GMT+0100 (British Summer Time),6.5.16,Thu Jan 26 2023 11:33:39 GMT+0000 (Greenwich Mean Time),242
@storybook/addon-toolbars,commonjs,7.5.0-alpha.3,Sun Sep 24 2023 20:36:10 GMT+0100 (British Summer Time),6.5.17-alpha.0,Thu Mar 23 2023 03:12:52 GMT+0000 (Greenwich Mean Time),187
@storybook/builder-webpack5,commonjs,7.5.0-alpha.3,Sun Sep 24 2023 20:36:27 GMT+0100 (British Summer Time),6.5.16,Thu Jan 26 2023 11:33:46 GMT+0000 (Greenwich Mean Time),242
@babel/polyfill,commonjs,7.12.1,Sun Jun 12 2022 16:01:26 GMT+0100 (British Summer Time),7.12.1,Thu Oct 15 2020 23:40:35 GMT+0100 (British Summer Time),1075
@types/js-cookie,module,3.0.4,Fri Sep 15 2023 21:55:17 GMT+0100 (British Summer Time),3.0.4,Fri Sep 15 2023 21:55:12 GMT+0100 (British Summer Time),10
@storybook/manager-webpack5,commonjs,7.0.0-alpha.10,Tue May 02 2023 17:20:29 GMT+0100 (British Summer Time),6.5.16,Thu Jan 26 2023 11:33:58 GMT+0000 (Greenwich Mean Time),242
@testing-library/jest-dom,commonjs,6.1.3,Wed Sep 06 2023 03:56:35 GMT+0100 (British Summer Time),6.1.3,Wed Sep 06 2023 03:56:35 GMT+0100 (British Summer Time),20
@testing-library/react,commonjs,14.0.0,Wed May 24 2023 18:14:40 GMT+0100 (British Summer Time),14.0.0,Thu Feb 16 2023 22:59:37 GMT+0000 (Greenwich Mean Time),221
@types/jest,module,29.5.5,Fri Sep 15 2023 21:40:06 GMT+0100 (British Summer Time),29.5.4,Tue Aug 22 2023 19:16:41 GMT+0100 (British Summer Time),34
@testing-library/react-hooks,commonjs,8.0.1,Tue Oct 18 2022 20:08:25 GMT+0100 (British Summer Time),8.0.1,Sat Jun 18 2022 14:20:19 GMT+0100 (British Summer Time),464
@testing-library/user-event,commonjs,14.5.1,Fri Sep 15 2023 19:08:32 GMT+0100 (British Summer Time),14.4.3,Tue Aug 09 2022 16:25:09 GMT+0100 (British Summer Time),412
