Dependency,Type,Most Recent Version,Most Recent Version Date,Our Version,Our Version Date,Our Version Freshness in Days
eslint-import-resolver-alias,commonjs,1.1.2,Fri Jun 17 2022 21:24:49 GMT+0100 (British Summer Time),1.1.2,Sat Dec 08 2018 12:48:55 GMT+0000 (Greenwich Mean Time),1752
@types/testing-library__react,commonjs,10.2.0,Thu Apr 07 2022 09:53:56 GMT+0100 (British Summer Time),10.2.0,Wed Jun 24 2020 12:52:59 GMT+0100 (British Summer Time),1188
crypto,commonjs,1.0.1,Tue Jun 14 2022 05:01:22 GMT+0100 (British Summer Time),1.0.1,Thu Aug 10 2017 23:43:43 GMT+0100 (British Summer Time),2237
eslint-config-airbnb,commonjs,19.0.4,Sun Apr 02 2023 02:44:27 GMT+0100 (British Summer Time),18.2.1,Fri Nov 06 2020 22:38:12 GMT+0000 (Greenwich Mean Time),1053
cypress-multi-reporters,commonjs,2.0.1,Mon Mar 13 2023 17:43:37 GMT+0000 (Greenwich Mean Time),1.6.3,Mon Mar 13 2023 17:43:37 GMT+0000 (Greenwich Mean Time),196
eslint-plugin-cypress,commonjs,2.15.1,Mon Sep 18 2023 20:03:21 GMT+0100 (British Summer Time),2.13.3,Fri Apr 28 2023 16:18:56 GMT+0100 (British Summer Time),150
eslint-plugin-react,commonjs,7.33.2,Sun Sep 24 2023 13:42:52 GMT+0100 (British Summer Time),7.32.2,Sun Jan 29 2023 06:47:00 GMT+0000 (Greenwich Mean Time),239
eslint-plugin-jsx-a11y,commonjs,6.7.1,Thu Jan 12 2023 04:19:37 GMT+0000 (Greenwich Mean Time),6.7.1,Thu Jan 12 2023 04:19:36 GMT+0000 (Greenwich Mean Time),257
eslint-plugin-import,commonjs,2.28.1,Fri Aug 18 2023 21:41:10 GMT+0100 (British Summer Time),2.27.5,Mon Jan 16 2023 19:44:39 GMT+0000 (Greenwich Mean Time),252
eslint-plugin-prettier,commonjs,5.0.0,Tue Jul 11 2023 08:45:45 GMT+0100 (British Summer Time),4.2.1,Thu Jun 30 2022 04:33:54 GMT+0100 (British Summer Time),453
depcheck,commonjs,1.4.6,Mon Sep 11 2023 18:40:35 GMT+0100 (British Summer Time),1.4.5,Mon Aug 21 2023 16:29:04 GMT+0100 (British Summer Time),35
eslint-plugin-react-hooks,commonjs,5.0.0-next-fecc288b7-20221025,Mon Sep 25 2023 17:17:14 GMT+0100 (British Summer Time),4.6.0,Tue Jun 14 2022 20:46:28 GMT+0100 (British Summer Time),468
history,commonjs,5.3.0,Sat Jun 18 2022 21:50:43 GMT+0100 (British Summer Time),4.10.1,Fri Sep 13 2019 01:16:07 GMT+0100 (British Summer Time),1474
glob,module,10.3.7,Sun Sep 24 2023 22:53:51 GMT+0100 (British Summer Time),8.0.3,Fri May 13 2022 18:08:32 GMT+0100 (British Summer Time),500
jest-fetch-mock,commonjs,3.0.3,Sun Jun 19 2022 05:11:37 GMT+0100 (British Summer Time),3.0.3,Tue Mar 10 2020 07:26:52 GMT+0000 (Greenwich Mean Time),1294
eslint-plugin-json,commonjs,3.1.0,Sun Jul 09 2023 23:08:36 GMT+0100 (British Summer Time),3.1.0,Fri Aug 06 2021 01:05:47 GMT+0100 (British Summer Time),781
jest-junit,commonjs,16.0.0,Sat Apr 15 2023 16:07:24 GMT+0100 (British Summer Time),13.2.0,Wed Apr 20 2022 23:13:43 GMT+0100 (British Summer Time),523
jest,commonjs,29.7.0,Tue Sep 12 2023 07:44:08 GMT+0100 (British Summer Time),29.6.4,Thu Aug 24 2023 12:11:28 GMT+0100 (British Summer Time),32
mocha,commonjs,10.2.0,Fri Sep 22 2023 20:31:17 GMT+0100 (British Summer Time),9.2.2,Fri Mar 11 2022 16:58:49 GMT+0000 (Greenwich Mean Time),563
fetch-mock,commonjs,9.11.0,Mon Jun 12 2023 22:51:46 GMT+0100 (British Summer Time),9.11.0,Sat Nov 21 2020 22:22:20 GMT+0000 (Greenwich Mean Time),1038
jest-environment-jsdom,commonjs,29.7.0,Tue Sep 12 2023 07:43:48 GMT+0100 (British Summer Time),29.6.4,Thu Aug 24 2023 12:10:45 GMT+0100 (British Summer Time),32
inspectpack,commonjs,4.7.1,Tue Aug 01 2023 17:01:33 GMT+0100 (British Summer Time),4.7.1,Wed Mar 24 2021 19:40:29 GMT+0000 (Greenwich Mean Time),915
husky,commonjs,8.0.3,Fri Jun 09 2023 22:31:56 GMT+0100 (British Summer Time),8.0.3,Tue Jan 03 2023 08:01:18 GMT+0000 (Greenwich Mean Time),265
